Squadron Name;Insignia;Nickname;Command;Air Force;Wing;Date First Activated;Base;Aircraft;Tail Code
162nd Attack Squadron;;;Ohio Air National Guard;;178 WG;1 December 1942;Springfield ANGB, Ohio;MQ-9;
172nd Attack Squadron;;;Michigan Air National Guard;;110 WG;10 February 1943;Battle Creek ANGB, Michigan;MQ-9;
178th Attack Squadron;;;North Dakota Air National Guard;;119 WG;15 July 1943;Fargo ANGB, North Dakota;MQ-9;
184th Attack Squadron;;;Arkansas Air National Guard;;188 WG;15 October 1953;Ebbing ANGB, Arkansas;MQ-9;
196th Attack Squadron;;;California Air National Guard;;163 ATKW;15 August 1943;March ARB, California;MQ-9;
214th Attack Squadron;;;Arizona Air National Guard;;162 WG;29 August 2007;Davis–Monthan AFB, Arizona;MQ-9;
429th Attack Squadron;;;Air Force Reserve Command;Tenth Air Force;926 WG;June 1917;Holloman AFB, New Mexico;MQ-9;
482nd Attack Squadron;;;Air Combat Command;Fifteenth Air Force;432 WG;13 August 1917;Shaw AFB, South Carolina;MQ-9;
489th Attack Squadron;;;Air Combat Command;Fifteenth Air Force;432 WG;13 August 1917;Creech AFB, Nevada;MQ-9;
491st Attack Squadron;;;Air Education and Training Command;Nineteenth Air Force;49 WG;15 August 1917;Hancock Field ANGB, New York;MQ-9;
492nd Attack Squadron;;;Air Education and Training Command;Nineteenth Air Force;49 WG;15 August 1917;March ARB, California;MQ-9;
867th Attack Squadron;;;Air Combat Command;Fifteenth Air Force;432 WG;21 August 1917;Creech AFB, Nevada;MQ-9;
1st Airlift Squadron;;SAM Fox;Air Mobility Command;Eighteenth Air Force;89 AW;23 March 1944;JB Andrews, Maryland;C-32A,C-40B;
3rd Airlift Squadron;;Royals;Air Mobility Command;Eighteenth Air Force;436 AW;7 March 1942;Dover AFB, Delaware;C-17A;
4th Airlift Squadron;;Fighting Fourth;Air Mobility Command;Eighteenth Air Force;62 AW;8 July 1935;JB Lewis–McChord, Washington;C-17A;
6th Airlift Squadron;;Bully Beef Express;Air Mobility Command;Eighteenth Air Force;305 AMW;14 October 1939;JB McGuire–Dix–Lakehurst, New Jersey;C-17A;
7th Airlift Squadron;;;Air Mobility Command;Eighteenth Air Force;62 AW;14 October 1939;JB Lewis–McChord, Washington;C-17A;
8th Airlift Squadron;;Workhorses;Air Mobility Command;Eighteenth Air Force;62 AW;1 February 1940;JB Lewis–McChord, Washington;C-17A;
9th Airlift Squadron;;Proud Pelicans;Air Mobility Command;Eighteenth Air Force;436 AW;1 Dec 1940;Dover AFB, Delaware;C-5M;
14th Airlift Squadron;;The Pelicans;Air Mobility Command;Eighteenth Air Force;437 AW;4 December 1940;JB Charleston, South Carolina;C-17A;
15th Airlift Squadron;;Global Eagles;Air Mobility Command;Eighteenth Air Force;437 AW;4 December 1940;JB Charleston, South Carolina;C-17A;
16th Airlift Squadron;;;Air Mobility Command;Eighteenth Air Force;437 AW;11 December 1940;JB Charleston, South Carolina;C-17A;
21st Airlift Squadron;;BEEliners;Air Mobility Command;Eighteenth Air Force;60 AMW;3 April 1942;Travis AFB, California;C-17A;
22nd Airlift Squadron;;Mulies;Air Mobility Command;Eighteenth Air Force;60 AMW;3 April 1942;Travis AFB, California;C-5M;
36th Airlift Squadron;;Eagle Airlifters;Pacific Air Forces;Fifth Air Force;374 AW;14 February 1942;Yokota AB, Japan;C-130J;
37th Airlift Squadron;;Blue Tail Flies;United States Air Forces in Europe – Air Forces Africa;Third Air Force;86 AW;14 February 1942;Ramstein AB, Germany;C-130J;RS
39th Airlift Squadron;;Trailblazers;Air Mobility Command;Eighteenth Air Force;317th Airlift Group;22 February 1942;Dyess AFB, Texas;C-130J;
40th Airlift Squadron;;Screaming Eagles;Air Mobility Command;Eighteenth Air Force;317th Airlift Group;18 February 1942;Dyess AFB, Texas;C-130J;
41st Airlift Squadron;;Black Cats;Air Mobility Command;Eighteenth Air Force;19 AW;18 February 1942;Little Rock AFB, Arkansas;C-130J;
48th Airlift Squadron;;;Air Education and Training Command;Nineteenth Air Force;314 AW;15 June 1942;Little Rock AFB, Arkansas;C-130J;
53rd Airlift Squadron;;;Air Mobility Command;Eighteenth Air Force;19 AW;1 June 1942;Little Rock AFB, Arkansas;C-130J;
54th Airlift Squadron;;;Air Mobility Command;Eighteenth Air Force;375 AMW;8 August 1917;Scott AFB, Illinois;C-40C;
58th Airlift Squadron;;;Air Education and Training Command;Nineteenth Air Force;97 AMW;18 November 1942;Altus AFB, Oklahoma;C-17A;
61st Airlift Squadron;;Green Hornets;Air Mobility Command;Eighteenth Air Force;19 AW;26 October 1942;Little Rock AFB, Arkansas;C-130J;
62nd Airlift Squadron;;Blue Barons;Air Education and Training Command;Nineteenth Air Force;314 AW;5 December 1942;Little Rock AFB, Arkansas;C-130J;
65th Airlift Squadron;;;Pacific Air Forces;Eleventh Air Force;15th Wing;12 December 1942;JB Pearl Harbor–Hickam, Hawaii;C-37A;
68th Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;433 AW;9 February 1943;JB San Antonio, Texas;C-5M;
73rd Airlift Squadron;;;Air Mobility Command;Eighteenth Air Force;932 AW;9 February 1943;Scott AFB, Illinois;C-40C;
76th Airlift Squadron;;;United States Air Forces in Europe – Air Forces Africa;Third Air Force;86 AW;8 February 1943;Ramstein AB, Germany;C-21A, C-37A;
89th Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;445 AW;1 June 1943;Wright-Patterson AFB, Ohio;C-17A;
96th Airlift Squadron;;Flying Vikings Global Vikings;Air Force Reserve Command;Twenty-Second Air Force;934 AW;1 July 1943;Minneapolis–Saint Paul JARS, Minnesota;C-130H;
97th Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;446 AW;1 July 1943;JB Lewis–McChord, Washington;C-17A;
99th Airlift Squadron;;SAM Fox;Air Mobility Command;Eighteenth Air Force;89 AW;1 August 1943;JB Andrews, Maryland;C-37A/B;
109th Airlift Squadron;;;Minnesota Air National Guard;;133 AW;27 August 1917;Minneapolis–Saint Paul JARS, Minnesota;C-130H;
115th Airlift Squadron;;;California Air National Guard;;146 AW;28 August 1917;Channel Islands ANGS, California;C-130J;
118th Airlift Squadron;;Flying Yankees;Connecticut Air National Guard;;103 AW;31 August 1917;Bradley ANGB, Connecticut;C-130H;
130th Airlift Squadron;;Mountaineers in Green;West Virginia Air National Guard;;130 AW;1 October 1955;Charleston ANGB, West Virginia;C-130J;
137th Airlift Squadron;;;New York Air National Guard;;105 AW;10 August 1943;Stewart ANGB, New York;C-17A;
139th Airlift Squadron;;;New York Air National Guard;;109 AW;23 July 1942;Stratton ANGB, New York;LC-130H;
142nd Airlift Squadron;;;Delaware Air National Guard;;166 AW;30 September 1942;New Castle ANGB, Delaware;C-130H;
143rd Airlift Squadron;;;Rhode Island Air National Guard;;143 AW;21 August 1939;Quonset Point ANGS, Rhode Island;C-130J;
144th Airlift Squadron;;;Alaska Air National Guard;;176 WG;15 September 1952;JB Elmendorf–Richardson, Alaska;C-17A;
155th Airlift Squadron;;Memphis Belle;Tennessee Air National Guard;;164 AW;8 December 1942;Memphis ANGB, Tennessee;C-17A;
156th Airlift Squadron;;;North Carolina Air National Guard;;145 AW;12 December 1942;Charlotte ANGB, North Carolina;C-17A;
158th Airlift Squadron;;;Georgia Air National Guard;;165 AW;1 October 1942;Savannah ANGB, Georgia;C-130H;
164th Airlift Squadron;;;Ohio Air National Guard;;179 AW;1 December 1942;Mansfield Lahm ANGB, Ohio;C-130H;
165th Airlift Squadron;;;Kentucky Air National Guard;;123 AW;15 January 1943;Louisville ANGB, Kentucky;C-130J;
167th Airlift Squadron;;;West Virginia Air National Guard;;167 AW;15 January 1943;Shepherd Field ANGB, West Virginia;C-17A;
169th Airlift Squadron;;;Illinois Air National Guard;;182 AW;23 July 1942;Peoria ANGB, Illinois;C-130H;
180th Airlift Squadron;;;Missouri Air National Guard;;139 AW;26 June 1942;Rosecrans ANGB, Missouri;C-130H;
181st Airlift Squadron;;;Texas Air National Guard;;136 AW;1 June 1943;NAS JRB Fort Worth, Texas;C-130J;
183rd Airlift Squadron;;Flying Jumbos;Mississippi Air National Guard;;172 AW;1 July 1953;Allen C. Thompson Field ANGB, Mississippi;C-17A;
186th Airlift Squadron;;;Montana Air National Guard;;120 AW;15 July 1943;Great Falls ANGB, Montana;C-130H;
187th Airlift Squadron;;;Wyoming Air National Guard;;153 AW;1 July 1943;Cheyenne ANGB, Wyoming;C-130H;
192nd Airlift Squadron;;;Nevada Air National Guard;;152 AW;15 October 1943;Reno ANGB, Nevada;C-130H;
201st Airlift Squadron;;;District of Columbia Air National Guard;;113 WG;20 June 1992;JB Andrews, Maryland;C-40B;
204th Airlift Squadron;;Na Manu Ikaika;Hawaii Air National Guard;;154 AW;31 October 1994;JB Pearl Harbor–Hickam, Hawaii;C-17A;
300th Airlift Squadron;;South Carolina Volunteers;Air Force Reserve Command;Fourth Air Force;315 AW;21 June 1943;JB Charleston, South Carolina;C-17A;
301st Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;349 AMW;1 August 1943;Travis AFB, California;C-17A;
312th Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;349 AMW;1 November 1943;Travis AFB, California;C-5M;
313th Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;446 AW;1 November 1943;JB Lewis–McChord, Washington;C-17A;
317th Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;315 AW;28 October 1943;JB Charleston, South Carolina;C-17A;
326th Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;512 AW;15 April 1944;Dover AFB, Delaware;C-17A;
337th Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;439 AW;26 June 1949;Westover ARB, Massachusetts;C-5M;
356th Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;433 AW;1 June 1942;JB San Antonio, Texas;C-5M;
458th Airlift Squadron;;;Air Mobility Command;Eighteenth Air Force;375 AMW;6 July 1942;Scott AFB, Illinois;C-21A;
459th Airlift Squadron;;;Pacific Air Forces;Fifth Air Force;374 AW;6 July 1942;Yokota AB, Japan;C-12J, UH-1N;
517th Airlift Squadron;;Firebirds;Pacific Air Forces;Eleventh Air Force;3rd Wing;11 December 1940;JB Elmendorf–Richardson, Alaska;C-17A;
535th Airlift Squadron;;;Pacific Air Forces;Eleventh Air Force;15th Wing;1 October 1943;JB Pearl Harbor–Hickam, Hawaii;C-17A;
700th Airlift Squadron;;;Air Force Reserve Command;Twenty-Second Air Force;94 AW;1 April 1943;Dobbins ARB, Georgia;C-130H;
701st Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;315 AW;1 April 1943;JB Charleston, South Carolina;C-17A;
709th Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;512 AW;1 May 1943;Dover AFB, Delaware;C-5M;
728th Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;446 AW;1 June 1943;JB Lewis–McChord, Washington;C-17A;
729th Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;452 AMW;1 June 1943;March ARB, California;C-17A;
731st Airlift Squadron;;;Air Force Reserve Command;Twenty-Second Air Force;302 AW;15 June 1942;Peterson SFB, Colorado;C-130H;
732nd Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;514 AMW;15 June 1942;JB McGuire–Dix–Lakehurst, New Jersey;C-17A;
757th Airlift Squadron;;Blue Tigers;Air Force Reserve Command;Twenty-Second Air Force;910 AW;1 July 1943;Youngstown ARS, Ohio;C-130H;
758th Airlift Squadron;;;Air Force Reserve Command;Fourth Air Force;911 AW;1 July 1943;Pittsburgh IAP ARS, Pennsylvania;C-17A;
815th Airlift Squadron;;Flying Jennies;Air Force Reserve Command;Twenty-Second Air Force;403 WG;20 September 1943;Keesler AFB, Mississippi;C-130J;
Presidential Airlift Squadron;;;Air Mobility Command;Eighteenth Air Force;89 AW;1 April 2001;JB Andrews, Maryland;VC-25A;
1st Airborne Command Control Squadron;;;Air Force Global Strike Command;Eighth Air Force;595 C2G;25 September 1917;Offutt AFB, Nebraska;E-4;
12th Airborne Command and Control Squadron;;;Air Combat Command;Fifteenth Air Force;461 ACW;18 October 1942;Robins AFB, Georgia;E-8;GA
16th Airborne Command and Control Squadron;;;Air Combat Command;Fifteenth Air Force;461 ACW;1 March 1943;Robins AFB, Georgia;E-8;GA
128th Airborne Command and Control Squadron;;;Georgia Air National Guard;;116 ACW;1 February 1918;Robins AFB, Georgia;E-8;GA
960th Airborne Air Control Squadron;;Vikings;Air Combat Command;Twelfth Air Force;552 ACW;15 January 1941;Tinker AFB, Oklahoma;E-3;OK
961st Airborne Air Control Squadron;;;Pacific Air Forces;Fifth Air Force;18 WG;15 January 1941;Kadena AB, Japan;E-3;ZZ
962nd Airborne Air Control Squadron;;;Pacific Air Forces;Eleventh Air Force;3rd Wing;1 November 1943;JB Elmendorf–Richardson, Alaska;E-3;AK
963rd Airborne Air Control Squadron;;Blue Knights;Air Combat Command;Twelfth Air Force;552 ACW;7 December 1942;Tinker AFB, Oklahoma;E-3;OK
964th Airborne Air Control Squadron;;;Air Combat Command;Twelfth Air Force;552 ACW;15 July 1942;Tinker AFB, Oklahoma;E-3;OK
965th Airborne Air Control Squadron;;;Air Combat Command;Twelfth Air Force;552 ACW;16 February 1943;Tinker AFB, Oklahoma;E-3;OK
966th Airborne Air Control Squadron;;;Air Combat Command;Twelfth Air Force;552 ACW;15 July 1942;Tinker AFB, Oklahoma;E-3;OK
970th Airborne Air Control Squadron;;;Air Force Reserve Command;Tenth Air Force;513 ACG;5 June 1944;Tinker AFB, Oklahoma;E-3;OK
2nd Air Refueling Squadron;;;Air Mobility Command;Eighteenth Air Force;305 AMW;1 December 1915;JB McGuire–Dix–Lakehurst, New Jersey;KC-46A;
6th Air Refueling Squadron;;;Air Mobility Command;Eighteenth Air Force;60 AMW;1 February 1940;Travis AFB, California;KC-10A;
9th Air Refueling Squadron;;;Air Mobility Command;Eighteenth Air Force;60 AMW;1 February 1942;Travis AFB, California;KC-10A;
18th Air Refueling Squadron;;;Air Force Reserve Command;Fourth Air Force;931 ARW;11 December 1940;McConnell AFB, Kansas;KC-135;
32nd Air Refueling Squadron;;;Air Mobility Command;Eighteenth Air Force;305 AMW;13 June 1917;JB McGuire–Dix–Lakehurst, New Jersey;KC-10A;
50th Air Refueling Squadron;;;Air Mobility Command;Eighteenth Air Force;6 ARW;15 June 1942;MacDill AFB, Florida;KC-135;
54th Air Refueling Squadron;;;Air Education and Training Command;Nineteenth Air Force;97 AMW;1 June 1942;Altus AFB, Oklahoma;KC-135;
56th Air Refueling Squadron;;;Air Education and Training Command;Nineteenth Air Force;97 AMW;18 November 1942;Altus AFB, Oklahoma;KC-46A;
63rd Air Refueling Squadron;;Flying Jennies;Air Force Reserve Command;Fourth Air Force;927 ARW;12 December 1942;MacDill AFB, Florida;KC-135;
64th Air Refueling Squadron;;;Air Mobility Command;Eighteenth Air Force;22 ARW;12 December 1942;Pease ANGB, New Hampshire;KC-46A;
70th Air Refueling Squadron;;;Air Force Reserve Command;Fourth Air Force;349 AMW;16 July 1942;Travis AFB, California;KC-10A;
72nd Air Refueling Squadron;;;Air Force Reserve Command;Fourth Air Force;434 ARW;9 February 1943;Grissom ARB, Indiana;KC-135;
74th Air Refueling Squadron;;;Air Force Reserve Command;Fourth Air Force;434 ARW;9 February 1943;Grissom ARB, Indiana;KC-135;
76th Air Refueling Squadron;;;Air Force Reserve Command;Fourth Air Force;514 AMW;25 February 1943;JB McGuire–Dix–Lakehurst, New Jersey;KC-10A;
77th Air Refueling Squadron;;The Totin' Tigers;Air Force Reserve Command;Fourth Air Force;916 ARW;25 February 1943;Seymour Johnson AFB, North Carolina;KC-46A;
78th Air Refueling Squadron;;;Air Force Reserve Command;Fourth Air Force;514 AMW;25 February 1943;JB McGuire–Dix–Lakehurst, New Jersey;KC-10A;
79th Air Refueling Squadron;;;Air Force Reserve Command;Fourth Air Force;349 AMW;1 April 1943;Travis AFB, California;KC-10A;
91st Air Refueling Squadron;;;Air Mobility Command;Eighteenth Air Force;6 ARW;15 January 1941;MacDill AFB, Florida;KC-135;
92nd Air Refueling Squadron;;;Air Mobility Command;Eighteenth Air Force;92 ARW;15 January 1941;Fairchild AFB, Washington;KC-135;
93rd Air Refueling Squadron;;;Air Mobility Command;Eighteenth Air Force;92 ARW;25 October 1942;Fairchild AFB, Washington;KC-135;
97th Air Refueling Squadron;;;Air Mobility Command;Eighteenth Air Force;92 ARW;15 January 1941;Fairchild AFB, Washington;KC-135;
99th Air Refueling Squadron;;Black Knights;Air Mobility Command;Eighteenth Air Force;6 ARW;15 July 1942;Sumpter Smith ANGB, Alabama;KC-135;
106th Air Refueling Squadron;;;Alabama Air National Guard;;117 ARW;27 August 1917;Sumpter Smith ANGB, Alabama;KC-135;
108th Air Refueling Squadron;;;Illinois Air National Guard;;126 ARW;27 August 1917;Scott AFB, Illinois;KC-135;
116th Air Refueling Squadron;;;Washington Air National Guard;;141 ARW;29 August 1917;Fairchild AFB, Washington;KC-135;
117th Air Refueling Squadron;;;Kansas Air National Guard;;190 ARW;26 June 1942;Forbes Field ANGB, Kansas;KC-135;
126th Air Refueling Squadron;;;Wisconsin Air National Guard;;128 ARW;12 November 1940;General Mitchell ANGB, Wisconsin;KC-135;
132nd Air Refueling Squadron;;;Maine Air National Guard;;101 ARW;2 March 1942;Bangor ANGB, Maine;KC-135;
133rd Air Refueling Squadron;;;New Hampshire Air National Guard;;157 ARW;2 March 1942;Pease ANGB, New Hampshire;KC-46A;
141st Air Refueling Squadron;;;New Jersey Air National Guard;;108 WG;8 October 1917;JB McGuire–Dix–Lakehurst, New Jersey;KC-135;
146th Air Refueling Squadron;;;Pennsylvania Air National Guard;;171 ARW;1 October 1942;Pittsburgh IAP ARS, Pennsylvania;KC-135T;
147th Air Refueling Squadron;;;Pennsylvania Air National Guard;;171 ARW;1 October 1942;Pittsburgh IAP ARS, Pennsylvania;KC-135T;
151st Air Refueling Squadron;;;Tennessee Air National Guard;;134 ARW;15 December 1957;McGhee Tyson ANGB, Tennessee;KC-135R;
153rd Air Refueling Squadron;;;Mississippi Air National Guard;;186 ARW;27 September 1939;Key Field ANGB, Mississippi;KC-135;
166th Air Refueling Squadron;;;Ohio Air National Guard;;121 ARW;1 December 1942;Rickenbacker ANGB, Ohio;KC-135;
168th Air Refueling Squadron;;;Alaska Air National Guard;;168 WG;26 June 1942;Eielson AFB, Alaska;KC-135;
171st Air Refueling Squadron;;;Michigan Air National Guard;;127 WG;10 February 1943;Selfridge ANGB, Michigan;KC-135T;
173rd Air Refueling Squadron;;;Nebraska Air National Guard;;155 ARW;1 July 1943;Lincoln ANGB, Nebraska;KC-135;
174th Air Refueling Squadron;;;Iowa Air National Guard;;185 ARW;15 May 1943;Sioux City ANGB, Iowa;KC-135;
191st Air Refueling Squadron;;Ruddy Ducks;Utah Air National Guard;;151 ARW;15 October 1943;Roland R. Wright ANGB, Utah;KC-135;
197th Air Refueling Squadron;;;Arizona Air National Guard;;161 ARW;15 August 1943;Goldwater ANGB, Arizona;KC-135;
203rd Air Refueling Squadron;;;Hawaii Air National Guard;;154 WG;16 January 1993;JB Pearl Harbor–Hickam, Hawaii;KC-135R;
314th Air Refueling Squadron;;;Air Force Reserve Command;Fourth Air Force;940 ARW;1 November 1943;Beale AFB, California;KC-135;
328th Air Refueling Squadron;;;Air Force Reserve Command;Fourth Air Force;914 ARW;15 April 1944;Niagara Falls ARS, New York;KC-135;
336th Air Refueling Squadron;;;Air Force Reserve Command;Fourth Air Force;452 AMW;3 November 1942;March ARB, California;KC-135;
344th Air Refueling Squadron;;;Air Mobility Command;Eighteenth Air Force;22 ARW;3 February 1942;McConnell AFB, Kansas;KC-46A;
349th Air Refueling Squadron;;;Air Mobility Command;Eighteenth Air Force;22 ARW;1 June 1942;McConnell AFB, Kansas;KC-135;
350th Air Refueling Squadron;;Red Falcons;Air Mobility Command;Eighteenth Air Force;22 ARW;1 June 1942;McConnell AFB, Kansas;KC-135;
351st Air Refueling Squadron;;;United States Air Forces in Europe – Air Forces Africa;Third Air Force;100 ARW;1 June 1942;RAF Mildenhall, United Kingdom;KC-135;
384th Air Refueling Squadron;;Squarepatchers;Air Mobility Command;Eighteenth Air Force;92 ARW;5 March 1943;Fairchild AFB, Washington;KC-135;
465th Air Refueling Squadron;;;Air Force Reserve Command;Fourth Air Force;507 ARW;12 October 1944;Tinker AFB, Oklahoma;KC-135;
756th Air Refueling Squadron;;;Air Force Reserve Command;Fourth Air Force;459 ARW;1 July 1943;JB Andrews, Maryland;KC-135;
905th Air Refueling Squadron;;;Air Force Reserve Command;Fourth Air Force;931 ARW;7 September 1942;McConnell AFB, Kansas;KC-46A;
906th Air Refueling Squadron;;;Air Mobility Command;Eighteenth Air Force;375 AMW;15 January 1941;Scott AFB, Illinois;KC-135;
909th Air Refueling Squadron;;;Pacific Air Forces;Fifth Air Force;18 WG;1 March 1942;Kadena AB, Japan;KC-135;
911th Air Refueling Squadron;;;Air Mobility Command;Eighteenth Air Force;6 ARW;c. 15 May 1917;Seymour Johnson AFB, North Carolina;KC-46A;
912th Air Refueling Squadron;;;Air Mobility Command;Eighteenth Air Force;92 ARW;15 June 1942;March ARB, California;KC-135;
924th Air Refueling Squadron;;;Air Force Reserve Command;Fourth Air Force;931 ARW;27 April 1942;McConnell AFB, Kansas;KC-46A;
USAF Air Demonstration Squadron;;Thunderbirds;Air Combat Command;United States Air Force Warfare Center;57 WG;25 May 1953;Nellis AFB, Nevada;F-16C/D;
53rd Weather Reconnaissance Squadron;;Hurricane Hunters;Air Force Reserve Command;Twenty-Second Air Force;403 WG;31 August 1944;Keesler AFB, Mississippi;WC-130J;
6th Weapons Squadron;;;Air Combat Command;United States Air Force Warfare Center;57 WG;13 March 1917;Nellis AFB, Nevada;F-35A;WA
14th Weapons Squadron;;Air Commandos;Air Combat Command;United States Air Force Warfare Center;57 WG;2 March 1942;Hurlburt Field, Florida;AC-130, CV-22, MC-130, U-28;
16th Weapons Squadron;;Tomahawks;Air Combat Command;United States Air Force Warfare Center;57 WG;15 January 1941;Nellis AFB, Nevada;F-16C;WA
17th Weapons Squadron;;;Air Combat Command;United States Air Force Warfare Center;57 WG;16 June 1917;Nellis AFB, Nevada;F-15E;WA
26th Weapons Squadron;;;Air Combat Command;United States Air Force Warfare Center;57 WG;15 January 1941;Nellis AFB, Nevada;MQ-9;
29th Weapons Squadron;;;Air Combat Command;United States Air Force Warfare Center;57 WG;2 March 1942;Little Rock AFB, Arkansas;C-130;
34th Weapons Squadron;;;Air Combat Command;United States Air Force Warfare Center;57 WG;14 November 1952;Nellis AFB, Nevada;HH-60, HC-130;
57th Weapons Squadron;;;Air Combat Command;United States Air Force Warfare Center;57 WG;18 November 1942;JB Lewis–McChord, Washington;C-17A;
66th Weapons Squadron;;;Air Combat Command;United States Air Force Warfare Center;57 WG;15 January 1941;Nellis AFB, Nevada;A-10C;WA
